Name,Requirements,Dice Cost,Effect
Improved Healer,"Medicine 3, Mind 1",P,When you use a Bandage use your full Medicine roll instead of half.
Placebo,"Medicine 3, Mind 1",#,Give a Creature within Range 6 an amount of Temporary Health equal to your Medicine. You can only do this up to half your Medicine (rounded up) per Rest.
Recycled Meds,"Medicine 3, Mind 1",P,You no-longer use up Bandages and can use a Medkit twice before it is expent.
Medical Genius,"Medicine 5, Mind 2",P,When you use a Medkit on a creature they gain all the benefits of a Rest except for fully healing. (Medkit healing is still the same)
Resuscitate,"Medicine 5, Mind 2",##,"Touch a creature. You Reduce the target’s Death’s Door Count to go back to a 2 or less. Additionally, heal the creature as if you used a Medkit."
Healthy Hands,"Medicine 3, Soul 1",P,When you cast the Healing Hands Spell use your full Medicine roll instead of half.
Soul Healer,"Medicine 5, Soul 2",##,"Touch a living creature, cannot target Undead or Constructs. The creature regains Half their max Health. You can do this once per Rest."
Chain Healing,"Medicine 5, Soul 2",P,When you heal a creature you may heal another creature within 1 tile of them for half the healing (rounded down).
Improvised Weapon,Crafting 1,#,"You can quickly make an improvised weapon. Spend 10 gold and pick a Core weapon, the improvised weapon has the stats of that weapon. It breaks after 4 uses loosing all gold spent in the process."
Get Creative,Crafting 1,##,"You can quickly make a set of improvised tools. Spend 2 gold and pick a set of tools, you are able to use these tools for one crafting roll after which they break loosing all gold spent in the process."
Trap Maker,Crafting 1,##,"Make one of 3 traps listed below. Each trap costs 5 gold to craft, and covers 1 tile or item. Traps can be reclaimed if unused. Tripwire: A small hidden wire which will knock over any creature that steps on it. Can trigger non magical items. Snare: A loop of rope that when triggered Grapples and lifts its prey 2 tiles up. Popmine: A plate that when activated knocks its prey 3 tiles in a direction. The direction is decided during the trap's creation."
Tunneler,"Body 1, Crafting 3",##,"You can remove a number of tiles equal to your crafting stat. Different types of tiles cost more or less to dig through
(Cost : Tiles removed).
Soft (1:1), such as dirt or loose stones
Dence (2:1), such as stone walls
Reinforced (3:1), such as metal walls or solid stone"
Steam Weapons,"Crafting 3, Mind 1",P,"You can create 1 of 3 specialty weapons.
The Bronze Bolter; a repeating crossbow, the Steamthrower: a steam based Flamethrower, or the Clockwork Cannon; a large blunderbuss that shoots scrap. See Weapons for more info."
Turreted Weapon,"Crafting 3, Mind 1",##,"Spend 2 dice to turn one of your weapons into a semi automated Turret. If the Turret is destroyed the weapon drops and is broken. The weapon can be picked up by you and returns to being a normal weapon.
You can control any number of Constructs with your dice, but they must all be given the same Command. When you spend a dice to move you may also have the constructs move as well."
Enchanted Item,"Crafting 3, Soul 1",P,"You can spend 1 hour, which can be over the course of a rest, to imbue a spell into an item of your choice. The item gets an amount of Soul Strain equal to your level. Someone can then later cast this spell giving the item Soul Strain instead of the user. You can only have one spell in the item at a time, and you can only have 1 item with this effect. "
Simple Golem,"Crafting 3, Soul 1","##, P","You can create a Personal Golem (See Creatures). You can control any number of Constructs with your dice, but they must all be given the same Command. When you spend a dice to move you may also have the constructs move as well."
Golem Ranger Module,"Crafting 5, Soul 2",P,"Your Golem’s Soul Weapon gets +4 range and gains Armor Piercing. Additionally, it’s Armor Becomes Light "
Rune Maker,Arcana 1,P,"You can craft 2 Runes of your choosing. You can only have 2 active at once any new rune will replace the oldest crafted rune. 
This skill can be taken multiple times to increase the number of active runes by 1."
Combative Runing,"Arcana 3, Body 1",P,"You have figured out how to improve the flow of runic magic through your tools. Weapons you wield and armor you wear can have an additional rune inserted into it. Additionally, Craft a rune. This rune must be put in your weapon or armor. "
Magical Siphon,"Arcana 3, Body 1",P,"When you get a kill using a magic weapon or a weapon inscribed with a rune, you gain 1 Ward."
Runic Augmentation,"Arcana 5, Body 2",#,"You gain the ability to alter bodies with the aid of runes. By spending 10 minutes writing runes on yourself or others, you can grant a creature one of the benefits listed below. Each creature can only have 1 rune alteration and the rune’s used for the change are visible somewhere on the body (can be hidden with clothing). 
Wings: 
Gills/Fins: 
Change Appearance: "
Blade Wave,"Arcana 5, Body 2",Attack,You can Expel runic magic to create a wave of runic energy. Suppress the magic of one of your active runes to deal your Melee Weapons damage to all creatures in a 8 tile line. While suppressed the rune has no effect. This suppression lasts for 10 minutes.
Scroll Crafting,"Arcana 3, Soul 1",P,"You can create a magical scroll. This scroll can contain any Spell you know when crafting, and can be used by anyone with Magic (St). The person using the scroll can cast the spell on the scroll for half its St cost if they know the spell or at full cost if they don't. You can only have 1 scroll written at a time, if another one is written the first one loses its power."
Spell Manipulator,"Arcana 3, Soul 1",#,"The next spell you cast this turn has one of the following:  
Soul Slinger, an extra 4 Range but gain 1 Soul Strain. 
Maintain Spell Form, the spells duration is increased by an extra 2 turns but gain 1 Soul Strain. 
Intensify Spell, do 1 extra damage but gain 2 Soul Strain."
Simple Golem,"Arcana 3, Soul 1","##, P","You can create a Personal Golem (See Creatures). You can control any number of Constructs with your dice, but they must all be given the same Command. When you spend a dice to move you may also have the constructs move as well."
Golem Soulbound Module,"Arcana 5, Soul 2",P,"Your Golem gains the spell Swapper with a St cost of 1, however it only can target the Owner (you).
The Owner (you) can cast spells through the golem as if they (you) where the golem"
Strongarm,"BROKEN, Body 1, Thieving 3",,"enhanced Grappling / Restraining? or taking "
