Name,Tags,Effect,Cost,Crafting
Rune of Chaos,"Magic, Rune, Tiny",When doing an action if you roll a 6 turn another non 1 or 6 into a 6. When rolling a 1 turn another non 1 or 6 into a 1.,,
Rune of Light,"Magic, Rune, Tiny",You can spend 1 dice to activate or deactivate this Rune. While active the rune Glows 4 until deactivated.,,
Rune of the Darkness,"Magic, Rune, Tiny",While you are in the dark you do an extra 2 Damage.,,
Rune of The Forge,"Magic, Rune, Tiny",,,
Rune of Transformation,"Magic, Rune, Tiny",,,
Rune of the Feather,"Magic, Rune, Tiny","Half's the weight of whatever the rune is attached to. Turns 2 handed Melee weapons into 1 handed, this action reduces damage by 1.",,
Rune of Lead,"Magic, Rune, Tiny","Double’s the weight of whatever the rune is attached to. Turns 1 handed Melee weapons into 2 handed, this action increases damage by 1.",,
Dimensional Bag (Bag o Holding),"Magic, Small",The Bag has the spell Pocket Dimension constantly cast on it. It is not tied to any one person and cannot be placed inside another Dimensional Bag or Pocket Dimension.,,
Scarf of the Fishs Tale,"Bound, Magic, Tiny","An ornate scarf decorated with a story of love lost at sea. Once tied to a user, they are able to breathe underwater and can “talk” to aquatic life.",,
Ring of Illusions,"Bound, Magic, Tiny","A ring carved with ever changing runes that seem to describe any number of lost secrets.
Once tied to a user, they are able to cast Minor Illusion at will, and can cast Create Illusion Twice a day without gaining Soul Strain.",,
Living Map,"Magic, Tiny","A ebony cloth map that shows glowing gold and white details.
When the map is opened it shows a detailed map of the surrounding area (200x200 tiles). The map shows the location of any creatures in its area. It wont show hidden areas or things disguised by magic such as Invisible creatures.",,
Cloak of Shadows,"Bound, Magic, Tiny","A ebony cloth map that shows glowing gold and white details.
When the map is opened it shows a detailed map of the surrounding area (200x200 tiles). The map shows the location of any creatures in its area. It wont show hidden areas or things disguised by magic such as Invisible creatures.",,
Enchanted Weapon,"Magic, Small","A weapon forged by the greatest smiths.
Is found with a random Rune inscribed on it. Can hold 2 runes.",,
Parachute Ring,"Magic, Tiny","A ring with a small engraving of a cloud.
When the wearer falls 5 tiles or more will cast Spectral Parachute on only the wearer. This can only be done once per day.",,
Rune of Hunger,"Magic, Rune, Tiny",You can spend 1 dice to activate or deactivate this rune. While active You take 1 damage at the end of your turn; but you Heal 1 each time you hit a creature with the weapon inscribed with this rune.,,
Rune of Spell Resistance,"Magic, Rune, Tiny",When you have to roll dice when saving against a spell you can add 1 to 1 of the rolls.,,
Rune of Branding,"Magic, Rune, Tiny",Attacks Mark the target until the beginning of your next turn.,,
Ring of Soul Stealing,"Magic, Tiny","A silver ring with a black opal gemstone.
When in possession of someone with Soul the ring will use their Soul Strain to cast Sleeping Powder on them. This cannot happen if the Ring has cast this spell within 1 hour prior or the person has Maxed out their Soul Strain. ",,
